S,0,3071,0,3071,0,Althea.pcx,
S,1392,3032,44,1764,0,Arakas.pcx,
S,8,1390,35,1353,0,stoneheim.pcx,
S,25,1750,1469,2944,0,ravensdust.pcx, 
S,615,902,1251,1504,0,ravensdust.pcx, 
S,2725,3060,1076,1273,0,lighthaven.pcx,
S,2905,3060,838,1088,0,lighthaven.pcx,
S,2793,2906,1012,1087,0,lighthaven.pcx,
L,3798,-1772,3904,-1654,0,lighthaven.pcx,
L,2766,-568,3112,-302,0,windhowl.pcx,
S,76,164,741,826,0,stonecrest.pcx,
L,823,405,1209,665,0,stonecrest.pcx,
L,3672,840,4298,1104,0,silversky.pcx,
L,3790,820,4164,842,0,silversky.pcx,
L,3791,795,4037,821,0,silversky.pcx,
L,3791,777,3951,797,0,silversky.pcx,
L,3859,759,3951,777,0,silversky.pcx,
L,5101,-73,5231,41,0,urtanar.pcx,
S,39,95,1829,1885,0,ogrimar.pcx,
S,1253,1291,1597,1637,0,brownbark_basement.pcx,
S,1687,1756,1811,1869,0,colosseum.pcx,
S,2928,3053,299,416,0,prison.pcx,
S,288,453,2893,3013,0,market.pcx,
S,1582,1618,782,819,0,artherk.pcx,
S,1,3071,1,3071,1,uncharted.pcx,
S,274,351,357,434,1,lighthaven_dungeon1.pcx,
L,564,-68,850,58,1,lighthaven_dungeon1.pcx,
L,227,-175,503,67,1,lighthaven_dungeon2.pcx,
S,214,268,16,65,1,lighthaven_dungeon2.pcx,
L,299,-295,503,-175,1,lighthaven_dungeon2.pcx,
S,3,112,247,407,1,lighthaven_dungeon3.pcx,
L,211,69,569,209,1,lighthaven_dungeon3.pcx,
L,427,209,569,333,1,lighthaven_dungeon3.pcx,
l,580,174,818,394,1,lighthaven_dungeon4.pcx,
S,29,153,577,698,1,lighthaven_crypt.pcx,
L,1123,-1039,1409,-707,1,jarko.pcx,
L,577,-349,833,-157,1,ancient_temple.pcx,
S,597,874,21,292,1,feylor_labyrinth.pcx,
S,1299,1675,12,455,1,bane.pcx,
S,2448,2533,369,902,1,makrsh.pcx,
S,2533,3054,11,992,1,makrsh.pcx,
L,2314,-2230,2808,-1724,1,makrsh.pcx,
S,301,624,1681,1984,1,raven_crypt1.pcx,
S,397,690,2013,2263,1,raven_crypt2.pcx,
S,570,703,321,454,1,mordenthal.pcx,
L,886,-144,1164,160,1,mordenthal.pcx,
S,1,3071,1,3071,2,uncharted.pcx,
L,566,-266,1178,536,2,lighthaven_cave.pcx,
L,956,588,1516,948,2,brigands.pcx,
L,1178,60,1588,588,2,brigands.pcx,
S,4,632,1252,1577,2,kraanian.pcx,
S,228,378,1577,1603,2,kraanian.pcx,
L,1516,628,1874,988,2,kraanian.pcx,
S,97,538,2421,2825,2,cave1.pcx,
S,71,538,1993,2421,2,cave2.pcx,
S,98,310,2826,3058,2,cave3.pcx,
S,635,948,2404,2686,2,cave4.pcx,
S,593,945,1938,2363,2,cave5.pcx,
L,3080,878,3320,1186,2,cave7.pcx,
L,3024,878,3080,1002,2,cave7.pcx,
L,3028,650,3340,878,2,cave7.pcx,
L,3336,882,3724,1336,2,cave6.pcx,
S,764,901,1103,1352,2,orcs1.pcx,
S,895,146,1164,1372,2,orcs1.pcx,
S,764,1142,909,1099,2,orcs2.pcx,
S,903,1114,1099,1140,2,orcs2.pcx,
L,1391,-1353,1869,-721,2,sorrow.pcx
